,scientific,common
24712,N=Tetrahymena hyperangularis,N=Tetraclita japonica formosana
24713,C=Acorn barnacle,N=Tetranychus kanzawai
24714,C=Kanzawa spider mite,N=Tetrahymena leucophrys
24715,N=Tetranychus ludeni,C=Bean spider mite
24716,N=Tetrahymena malaccensis,N=Tetrahymena mimbres
24717,N=Tetranychus malaysiensis,C=Spider mite
24718,N=Tetraplodon mnioides,C=Black fruited stink moss
24719,N=Tetraleurodes mori,C=Mulberry whitefly
24720,N=Tetraodon miurus,C=Congo puffer
24721,N=Tetrahymena nanneyi,N=Tetraodon nigroviridis
24722,C=Spotted green pufferfish,N=Tetrahymena nipissingi
24723,N=Tetradesmus obliquus,C=Green alga
24724,N=Tetrabrachium ocellatum,C=Four-armed frogfish
24725,N=Tetrachyron orizabensis,C=Sunflower
24726,N=Tetrahymena patula,N=Tetranychus pueraricola
24727,C=Spider mite,N=Tetranychus phaselus
24728,C=Spider mite,N=Tetrapisispora phaffii (strain ATCC 24235 / CBS 4417 / NBRC 1672 / NRRL Y-8282 / UCD 70-5)
24729,C=Yeast,N=Tetrahymena pigmentosa
24730,N=Tetanocera plumosa,C=Snail-killing fly
24731,N=Tetrahymena paravorax,N=Tetraclitella purpurascens
24732,C=Flat barnacle,N=Tetrahymena pyriformis
24733,N=Tetranematichthys quadrifilis,C=Driftwood catfish
24734,N=Tetracerus quadricornis,C=Four-horned antelope
24735,N=Tetanocera robusta,C=Snail-killing fly
24736,N=Tetragonotheca repanda,C=Showy nerveray
24737,N=Tetrahymena rostrata,N=Tetraclita rubescens
24738,C=Volcano barnacle,N=Tetrahymena sonneborni
24739,N=Tetraclita squamosa,C=Acorn barnacle
24740,N=Tetraselmis striata,C=Green microalga
24741,N=Tetraselmis subcordiformis,C=Marine green alga
24742,N=Tetraopes tetrophthalmus,C=Red milkweed beetle
24743,N=Tetrahymena thermophila,N=Tetartopeus terminatum
24744,C=Rove beetle,N=Tetrahymena tropicalis
24745,N=Tetrahymena thermophila (strain SB210),N=Tetragonia tetragonioides
24746,C=New Zealand spinach,N=Tetranychus urticae
24747,C=Two-spotted spider mite,N=Tettigonia viridissima
24748,C=Great green bush-cricket,N=Tetrastigma voinierianum
24749,C=Chestnut vine,N=Teuthraustes atramentarius
24750,C=Scorpion,N=Teucrium canadense
24751,C=Canada germander,N=Teucrium chamaedrys
24752,C=Wall germander,N=Teuthowenia megalops
24753,C=Atlantic cranch squid,N=Teucrium scorodonia
24754,C=Wood sage,N=Tobacco etch virus
24755,C=TEV,N=Tevnia jerichonana
24756,C=Hydrothermal vent tubeworm,N=Tomato golden mosaic virus (strain Yellow vein)
24757,C=TGMV,N=Thauria aliris
24758,C=Tufted jungleking,N=Thalassoica antarctica
24759,C=Antarctic petrel,N=Thauera aromatica
24760,N=Thalassianthus aster,C=Fuzzy-tipped anemone
24761,N=Thamnophis atratus,C=Santa Cruz garter snake
24762,N=Thauera butanivorans (strain ATCC 43655 / DSM 2080 / JCM 20651 / NBRC 103042 / IAM 12574 / Bu B1211),N=Thalassoma bifasciatum
24763,C=Bluehead wrasse,N=Thamnophis brachystoma
24764,C=Short-headed garter snake,N=Thanatephorus cucumeris (strain AG1-IA)
24765,C=Rice sheath blight fungus,N=Thanatephorus cucumeris (strain AG1-IB / isolate 7/3/14)
24766,C=Lettuce bottom rot fungus,N=Thalpomys cerradensis
24767,C=Cerrado mouse,N=Thalassarche chlororhynchos
24768,C=Atlantic yellow-nosed albatross,N=Thamnophis couchii
24769,C=Western aquatic garter snake,N=Thalassarche chrysostoma
24770,C=Grey-headed albatross,N=Thaumamermis cosgrovei
24771,C=Pillbug parasitic nematode,N=Thanatephorus cucumeris
24772,C=Black scurf of potato,N=Thamnophis cyrtopsis
24773,C=Black-necked garter snake,N=Thaumatococcus daniellii
24774,C=Katemfe,N=Thanasimus dubius
24775,C=Checkered beetle,N=Thalasseus elegans
24776,C=Elegant tern,N=Thamnophis elegans
24777,C=Western terrestrial garter snake,N=Thalassarche eremita
24778,C=Chatham albatross,N=Thalurania furcata
24779,C=Fork-tailed woodnymph,N=Thapsia garganica
24780,C=Deadly carrot,N=Thalassobius gelatinovorus
24781,N=Thalassarche impavida,C=Albatross
24782,N=Thalassocalyce inconstans,C=Comb jelly
24783,N=Thalassina kelanang,C=Mud lobster
24784,N=Thauera linaloolentis (strain DSM 12138 / CCUG 41526 / CIP 105981 / IAM 15112 / NBRC 102519 / 47Lol),N=Thalpomys lasiotis
24785,C=Hairy-eared cerrado mouse,N=Thalia longicauda
24786,C=Planktonic tunicate,N=Thalassophryne maculosa
24787,C=Cano toadfish,N=Thamnaconus modestus
24788,C=Black scraper,N=Thalasseus maximus
24789,C=Royal tern,N=Thaptomys nigrita
24790,C=Blackish grass mouse,N=Thalassophryne nattereri
24791,C=Copper Joe toadfish,N=Thalassiosira nordenskioeldii
24792,C=Marine diatom,N=Thalassiosira oceanica
24793,C=Marine diatom,N=Thaumatichthys pagidostomus
24794,C=Deep-sea anglerfish,N=Thaumetopoea pityocampa
24795,C=Pine processionary moth,N=Thalassiosira pseudonana
24796,C=Marine diatom,N=Thalasseus sandvicensis
24797,C=Sandwich tern,N=Thamnophis scalaris
24798,C=Mexican garter snake,N=Thauera selenatis
24799,N=Thauera sp. (strain MZ1T),N=Thalassotalea agarivorans
24800,N=Thalictrum thalictroides,C=Rue-anemone
24801,N=Thalassiosira weissflogii,C=Marine diatom
24802,N=Thrush coronavirus HKU12 (isolate Grey-backed thrush/Hong Kong/HKU12-600/2007),C=ThCoV-HKU12
24803,N=Thermovibrio ammonificans (strain DSM 15698 / JCM 12110 / HB-1),N=Thermus aquaticus (strain ATCC BAA-2747 / Y51MC23)
24804,N=Thermosipho africanus (strain H17ap60334),N=Thecobathra anas
24805,C=Ermine moth,N=Thermosipho africanus (strain TCF52B)
24806,N=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165),N=Theionarchaea archaeon (strain DG-70-1)
24807,N=Thermobifida alba,N=Thermodesulfobium acidiphilum
24808,N=Thermococcus aggregans,N=Thermocrinis albus (strain DSM 14484 / JCM 11386 / HI 11/12)
24809,N=Thermoplasma acidophilum,N=Thermoleophilum album
24810,N=Thermosphaera aggregans (strain DSM 11486 / M11TL),N=Theileria annulata
24811,N=Theraphosa apophysis,C=Goliath pinkfoot tarantula
24812,N=Themira annulipes,C=Lesser dung fly
24813,N=Thermus aquaticus,N=Thermanaerovibrio acidaminovorans (strain ATCC 49978 / DSM 6589 / Su883)
24814,N=Themiste alutacea,C=Peanut worm
24815,N=Thermoascus aurantiacus,N=Thermococcus barophilus
24816,N=Thermobispora bispora (strain ATCC 19993 / DSM 43833 / CBS 139.67 / JCM 10125 / KCTC 9307 / NBRC 14880 / R51),N=Thelacantha brevispina
24817,C=Double spotted spiny spider,N=Thermoanaerobacter brockii subsp. finnii (strain ATCC 43586 / DSM 3389 / AKO-1)
24818,N=Thermobispora bispora,N=Theraphosa blondi
24819,C=Goliath birdeating spider,N=Thermococcus barophilus (strain DSM 11836 / MP)
24820,N=Thermus brockianus,N=Thermoanaerobacter brockii
24821,N=Theileria buffeli,N=Thermogladius calderae (strain DSM 22663 / VKM B-2946 / 1633)
24822,N=Thermus caldophilus,N=Theobroma cacao
24823,C=Cacao,N=Thermomonospora curvata (strain ATCC 19995 / DSM 43183 / JCM 3096 / KCTC 9072 / NBRC 15933 / NCIMB 10081 / Henssen B9)
24824,N=Thermococcus celer,N=Thermococcus cleftensis (strain DSM 27260 / KACC 17922 / CL1)
24825,N=Thermobacillus composti (strain DSM 18247 / JCM 13945 / KWC4),N=Thelazia callipaeda
24826,C=Oriental eyeworm,N=Therorhodion camtschaticum
24827,C=Kamtchatka rhododendron,N=Theloderma corticale
24828,C=Kwangsi warty tree frog,N=Thermarces cerberus
24829,C=Hydrothermal vent eelpout,N=Thermobifida cellulosilytica
24830,N=Thermomonospora curvata,N=Theileria cervi
24831,N=Thermasporomyces composti,N=Themiste dyscrita
24832,C=Peanut worm,N=Theileria equi
24833,N=Thermoanaerobacter ethanolicus,N=Thermus filiformis
24834,N=Thermococcus fumicolans,N=Thermanaerosceptrum fracticalcis
24835,N=Thermobifida fusca,N=Thermobifida fusca (strain YX)
24836,N=Thermococcus sp. (strain GE8),N=Thelephora ganbajun
24837,C=Ganba fungus,N=Theropithecus gelada
24838,C=Gelada baboon,N=Thermococcus gammatolerans (strain DSM 15229 / JCM 11827 / EJ3)
24839,N=Theridiosoma gemmosum,C=Ray spider
24840,N=Thermococcus gorgonarius,N=Thermodesulfobacterium geofontis (strain OPF15)
24841,N=Thermosporothrix hazakensis,N=Themiste hennahi
24842,C=Peanut worm,N=Thermococcus hydrothermalis
24843,N=Thermoanaerobacter italicus (strain DSM 9252 / Ab9),N=Thermodesulfatator indicus (strain DSM 15286 / JCM 11887 / CIR29812)
24844,N=Thermoactinomyces intermedius,N=Thermococcus sp. (strain JCM 11816 / KS-1)
24845,N=Thermococcus sp. (strain KS-8),N=Thermoanaerobacter kivui
24846,N=Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1),N=Thelohanellus kitauei
24847,C=Myxosporean,N=Thermomyces lanuginosus
24848,N=Thelazia lacrymalis,C=Eyeworm
24849,N=Thermovirga lienii (strain ATCC BAA-1197 / DSM 17291 / Cas60314),N=Theileria lestoquardi
24850,N=Themiste lageniformis,C=Peanut worm
24851,N=Thermococcus litoralis,N=Thermococcus litoralis (strain ATCC 51850 / DSM 5473 / JCM 8560 / NS-C)
24852,N=Thereuopoda longicornis,C=Long-legged centipede
24853,N=Thermostichus lividus,N=Thermoanaerobacter mathranii subsp. mathranii (strain DSM 11426 / CCUG 53645 / CIP 108742 / A3)
24854,N=Thermosipho melanesiensis (strain DSM 12029 / CIP 104789 / BI429),N=Thermaerobacter marianensis (strain ATCC 700841 / DSM 12885 / JCM 10246 / 7p75a)
24855,N=Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),N=Themiste minor
24856,C=Peanut worm,N=Thermonectus marmoratus
24857,C=Sunburst diving beetle,N=Thermotoga maritima
24858,N=Theileria mutans,N=Thermotoga neapolitana
24859,N=Themira nigricornis,C=Lesser dung fly
24860,N=Thermotoga neapolitana (strain ATCC 49049 / DSM 4359 / NBRC 107923 / NS-E),N=Thenus orientalis
24861,C=Flathead lobster,N=Thermosediminibacter oceani (strain ATCC BAA-1034 / DSM 16646 / JW/IW-1228P)
24862,N=Theretra oldenlandiae,C=Impatiens hawkmoth
24863,N=Thermococcus onnurineus (strain NA1),N=Theileria orientalis
24864,N=Thermus oshimai,N=Thermotoga petrophila (strain ATCC BAA-488 / DSM 13995 / JCM 10881 / RKU-1)
24865,N=Thermotoga petrophila (strain ATCC BAA-489 / DSM 13996 / JCM 10882 / RKU-10),N=Thermoanaerobacter pseudethanolicus (strain ATCC 33223 / 39E)
24866,N=Theileria parva,C=East coast fever infection agent
24867,N=Thermofilum pendens (strain DSM 2475 / Hrk 5),N=Thermofilum pendens
24868,N=Thermincola potens (strain JR),N=Thecacera pennigera
24869,C=Sea slug,N=Thespesia populnea
24870,C=Portia tree,N=Thermococcus profundus
24871,N=Thermacetogenium phaeum (strain ATCC BAA-254 / DSM 26808 / PB),N=Therea petiveriana
24872,C=Domino cockroach,N=Themira putris
24873,C=Lesser dung fly,N=Thevetia peruviana
24874,C=Yellow oleander,N=Thermoanaerobacter sp. (strain X514)
24875,N=Thermomicrobium roseum,N=Thermomicrobium roseum (strain ATCC 27502 / DSM 5159 / P-2)
24876,N=Thermus sp. (strain 2.9),N=Thermoclostridium stercorarium (strain ATCC 35414 / DSM 8532 / NCIMB 11754)
24877,N=Thermus sp. (strain ATCC 27737),N=Thermococcus sp. (strain CGMCC 1.5172 / 4557)
24878,N=Thermus sp. (strain 71),N=Thermococcus sp. (strain 9oN-7)
24879,N=Thermoanaerobacterium saccharolyticum,N=Thermoanaerobacter sp.
24880,N=Thermus scotoductus,N=Theileria sergenti (isolate Ikeda)
24881,N=Theileria sergenti,N=Theileria sergenti (isolate Chitose)
24882,N=Thermococcus sp. (strain KI),N=Thermus sp. (strain AK16D)
24883,N=Thermococcus sibiricus (strain DSM 12597 / MM 739),N=Thermus sp.
24884,N=Thermotoga sp. (strain RQ2),N=Thermus sp. (strain Rt41A)
24885,N=Thermus scotoductus (strain ATCC 700910 / SA-01),N=Thermoclostridium stercorarium
24886,N=Thermococcus stetteri,N=Thermoanaerobacterium saccharolyticum (strain DSM 8691 / JW/SL-YS485)
24887,N=Thermoanaerobacter sp. (strain X513),N=Thermus sp. (strain YS45)
24888,N=Thermoanaerobacterium sp.,N=Thermobaculum terrenum (strain ATCC BAA-798 / YNP1)
24889,N=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),N=Thermosulfidibacter takaii (strain DSM 17441 / JCM 13301 / NBRC 103674 / ABI70S6)
24890,N=Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),N=Theileria taurotragi
24891,N=Thecamonas trahens,C=Flagellate
24892,N=Thermoanaerobacterium thermosaccharolyticum (strain ATCC 7956 / DSM 571 / NCIMB 9385 / NCA 3814 / NCTC 13789 / WDCM 00135 / 2032),N=Thermoproteus tenax
24893,N=Thermus thermophilus (strain SG0.5JP17-16),N=Thermus thermophilus
24894,N=Thermochromatium tepidum,N=Thermoproteus tenax (strain ATCC 35583 / DSM 2078 / JCM 9277 / NBRC 100435 / Kra 1)
24895,N=Thermodesulfobacterium thermophilum,N=Thermothelomyces thermophilus
24896,N=Thermoanaerobacterium thermosaccharolyticum,N=Theromyzon tessulatum
24897,C=Duck leech,N=Thermothielavioides terrestris (strain ATCC 38088 / NRRL 8126)
24898,N=Thermoanaerobacterium thermosulfurigenes,N=Thermoanaerobacter thermohydrosulfuricus
24899,N=Thermoproteus uzoniensis (strain 768-20),N=Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1)
24900,N=Thermostichus vulcanus,N=Thermoplasma volcanium (strain ATCC 51530 / DSM 4299 / JCM 9571 / NBRC 15438 / GSS1)
24901,N=Thermoactinomyces vulgaris,N=Thermofilum sp. (strain ex4484_79)
24902,N=Thermoplasmatales archaeon (strain ISO4-H5),N=Thermoanaerobacterium xylanolyticum (strain ATCC 49914 / DSM 7097 / LX-11)
24903,N=Thermoplasmatales archaeon (strain BRNA1),N=Thermobacillus xylanilyticus
24904,N=Thermodesulfovibrio yellowstonii (strain ATCC 51303 / DSM 11347 / YP87),N=Thermophis zhaoermii
24905,C=Sichuan hot-spring keel-back,N=Thermococcus zilligii
24906,N=Thiomonas arsenitoxydans (strain DSM 22701 / CIP 110005 / 3As),N=Thinopyrum bessarabicum
24907,C=Wheatgrass,N=Thiomicrospira cyclica (strain DSM 14477 / JCM 11371 / ALM1)
24908,N=Thinornis cucullatus,C=Hooded plover
24909,N=Thiobacillus denitrificans (strain ATCC 25259),N=Thiobacillus denitrificans
24910,N=Thiomonas delicata,N=Thinopyrum elongatum
24911,C=Tall wheatgrass,N=Thiomonas intermedia
24912,N=Thiomonas intermedia (strain K12),N=Thioalkalivibrio nitratireducens (strain DSM 14787 / UNIQEM 213 / ALEN2)
24913,N=Thiothrix nivea (strain ATCC 35100 / DSM 5205 / JP2),N=Thiomonas perometabolis
24914,N=Thiococcus pfennigii,N=Thiocapsa pendens
24915,N=Thitarodes pui,C=Moth
24916,N=Thiocapsa roseopersicina,N=Thioalkalivibrio sulfidiphilus (strain HL-EbGR7)
24917,N=Thioalkalivibrio sp. (strain K90mix),N=Thiobacillus thioparus
24918,N=Thiocystis violascens (strain ATCC 17096 / DSM 198 / 6111),N=Thiocystis violacea
24919,N=Thlaspi arvense,C=Field penny-cress
24920,N=Thalictrum flavum subsp. glaucum,C=Yellow meadow rue
24921,N=Thlaspi japonicum,C=Penny-cress
24922,N=Thorarchaeota archaeon (strain AB_25),N=Thorarchaeota archaeon (strain OWC)
24923,N=Thomomys bottae,C=Botta's pocket gopher
24924,N=Thomomys bulbivorus,C=Camas pocket gopher
24925,N=Thomasomys daphne,C=Daphne's oldfield mouse
24926,N=Thomasomys gracilis,C=Slender oldfield mouse
24927,N=Thogoto virus (isolate SiAr 126),C=Tho
24928,N=Thoracosphaera heimii,C=Dinoflagellate
24929,N=Thorichthys helleri,C=Yellow cichlid
24930,N=Thorellius intrepidus,C=Scorpion
24931,N=Thomasomys ischyurus,C=Strong-tailed oldfield mouse
24932,N=Thomomys mazama,C=Western pocket gopher
24933,N=Thorichthys maculipinnis,C=Cichlid fish
24934,N=Thorichthys meeki,C=Firemouth cichlid
24935,N=Thoropa miliaris,C=Rock river frog
24936,N=Thomomys monticola,C=Mountain pocket gopher
24937,N=Thoopterus nigrescens,C=Swift fruit bat
24938,N=Thomasomys notatus,C=Distinguished oldfield mouse
24939,N=Thomisus onustus,C=Pink crab spider
24940,N=Thomasomys oreas,C=Montane oldfield mouse
24941,N=Thomomys talpoides,C=Northern pocket gopher
24942,N=Thomomys townsendii,C=Western pocket gopher
24943,N=Thoracostoma trachygaster,C=Marine nematode worm
24944,N=Thomomys umbrinus,C=Southern pocket gopher
24945,N=Thrichomys apereoides,C=Punare
24946,N=Thryomanes bewickii,C=Bewick's wren
24947,N=Thraupis episcopus,C=Blue-grey tanager
24948,N=Thrips flavus,C=Honeysuckle thrips
24949,N=Thrips imaginis,C=Plague thrips
24950,N=Thrasops jacksonii,C=Jackson's black tree snake
24951,N=Thryothorus ludovicianus,C=Carolina wren
24952,N=Thrichomys pachyurus,C=Paraguayan punare
24953,N=Thrips palmi,C=Melon thrips
24954,N=Thrixopelma pruriens,C=Peruvian green velvet tarantula
24955,N=Thraustochytrium sp. (strain ATCC 26185 / S-3),N=Thryptomene saxicola
24956,C=Rock thryptomene,N=Thricops semicinereus
24957,C=Fly,N=Thraustochytrium sp.
24958,N=Thryonomys swinderianus,C=Greater cane rat
24959,N=Thunnus alalunga,C=Albacore
24960,N=Thunnus albacares,C=Yellowfin tuna
24961,N=Thunbergia alata,C=Black-eyed Susan vine
24962,N=Thujopsis dolabrata,C=Hiba arborvitae
24963,N=Thunbergia erecta,C=Bush clockvine
24964,N=Thuridilla hopei,C=Sea slug
24965,N=Thunnus maccoyii,C=Southern bluefin tuna
24966,N=Thunbergia mysorensis,C=Mysore clock-vine
24967,N=Thunnus obesus,C=Bigeye tuna
24968,N=Thuja occidentalis,C=Northern white-cedar
24969,N=Thunnus orientalis,C=North Pacific bluefin tuna
24970,N=Thuja plicata,C=Western red-cedar
24971,N=Thuidium tamariscinum,C=Tamarisk thuidium moss
24972,N=Thunnus thynnus,C=Atlantic bluefin tuna
24973,N=Thunnus tonggol,C=Longtail tuna
24974,N=Thymallus arcticus,C=Arctic grayling
24975,N=Thylogale billardierii,C=Tasmanian pademelon
24976,N=Thylogale brunii,C=Dusky pademelon
24977,N=Thymus caespititius,C=Cretan thyme
24978,N=Thylamys cinderella,C=Cinderella fat-tailed mouse opossum
24979,N=Thyca crystallina,C=Crystalline sea star snail
24980,N=Thylacinus cynocephalus,C=Tasmanian wolf
24981,N=Thylamys elegans,C=Elegant fat-tailed mouse opossum
24982,N=Thymelaea hirsuta,C=Shaggy sparrow-wort
24983,N=Thysanoplusia intermixta,C=Moth
24984,N=Thysanoteuthis rhombus,C=Diamond squid
24985,N=Thylogale stigmatica,C=Red-legged pademelon
24986,N=Thymelicus sylvestris,C=Small skipper butterfly
24987,N=Thymophylla tenuiloba,C=Dahlberg daisy
24988,N=Thymallus thymallus,C=Grayling
24989,N=Thyroptera tricolor,C=Spix's disk-winged bat
24990,N=Thymus vulgaris,C=Thyme
24991,N=Tibellus oblongus,C=Oblong running crab spider
24992,N=Tibouchina urvilleana,C=Glory bush
24993,N=Tibrogargan virus (strain CS132),C=TIBV
24994,N=Tieghemostelium lacteum,C=Slime mold
24995,N=Tigriopus californicus,C=Marine copepod
24996,N=Tigriopus japonicus,C=Copepod
24997,N=Tigridia pavonia,C=Mexican shell flower
24998,N=Tigridia sp. (strain Lejeune 1997),N=Tilingia ajanensis
24999,C=False snowparsley,N=Tilia americana
25000,C=American basswood,N=Tilletiaria anomala (strain ATCC 24038 / CBS 436.72 / UBC 951)
25001,N=Tilesia baccata,N=Tilia oliveri
25002,C=Small-leaved lime,N=Tilia platyphyllos
25003,C=Large-leaved lime,N=Tiliqua rugosa
25004,C=Shingleback lizard,N=Tillandsia usneoides
25005,C=Spanish moss,N=Timarcha balearica
25006,N=Timema californicum,C=California timema
25007,N=Timandra comae,C=Blood-vein moth
25008,N=Timema cristinae,C=Walking stick
25009,N=Timema douglasi,C=Walking stick
25010,N=Timema genevievae,C=Walking stick
25011,N=Timandra griseata,C=Blood-vein moth
25012,N=Timema knulli,C=Walking stick
25013,N=Timon lepidus,C=Ocellated lizard
25014,N=Timema podura,C=Walking stick
25015,N=Timema poppense,C=Walking stick
25016,N=Timema shepardi,C=Walking stick
25017,N=Timarcha tenebricosa,C=Bloody-nosed beetle
25018,N=Tineola bisselliella,C=Webbing clothes moth
25019,N=Tinamus guttatus,C=White-throated tinamou
25020,N=Tinantia leiocalyx,C=Spiderwort
25021,N=Tinamus major,C=Great tinamou
25022,N=Tinca tinca,C=Tench
25023,N=Tipularia discolor,C=Cranefly orchid
25024,N=Tipula oleracea,C=Common crane fly
25025,N=Tipula paludosa,C=European cranefly
25026,N=Tipuana tipu,C=Rosewood tree
25027,N=Tipula tristis,C=Crane fly
25028,N=Tirumala limniace,C=Blue tiger butterfly
25029,N=Tissierella creatinophila,N=Tistrella mobilis (strain KA081020-065)
25030,N=Tityus bahiensis,C=Brazilian scorpion
25031,N=Titanidiops canariensis,C=Canarian trapdoor spider
25032,N=Tityus cerroazul,C=Scorpion
25033,N=Tityus costatus,C=Brazilian scorpion
25034,N=Tityus discrepans,C=Venezuelan scorpion
25035,N=Tityus fasciolatus,C=Central Brazilian scorpion
25036,N=Titanodula formosana,C=Giant Asian mantis
25037,N=Tithorea harmonia,C=Harmonia tiger-wing
25038,N=Tityus macrochirus,C=Scorpion
25039,N=Tityus metuendus,C=Scorpion
25040,N=Tityus obscurus,C=Amazonian scorpion
25041,N=Tityus pachyurus,C=Colombian scorpion
25042,N=Tityus quirogae,C=Scorpion
25043,N=Tityus serrulatus,C=Brazilian scorpion
25044,N=Tityus stigmurus,C=Brazilian scorpion
25045,N=Tityus trivittatus,C=Argentinean scorpion
25046,N=Tityus zulianus,C=Venezuelan scorpion
25047,N=Tomato leaf curl virus (strain Australia),C=ToLCV
25048,N=Tliltocatl albopilosus,C=Curlyhair tarantula
25049,N=Tmesipteris obliqua,C=Long fork-fern
25050,N=Theiler's murine encephalomyelitis virus (strain BeAn 8386),C=TMEV
25051,N=Theiler's murine encephalomyelitis virus (strain DA),C=TMEV
25052,N=Theiler's murine encephalomyelitis virus (strain GDVII),C=TMEV
25053,N=Tobacco mild green mosaic virus,C=TMGMV
25054,N=Tobamovirus Ob,N=Tomato mottle virus (isolate Florida)
25055,C=ToMoV,N=Tobacco mosaic virus (strain vulgare)
25056,C=TMV,N=Tobacco mosaic virus (strain 06)
25057,C=TMV-06,N=Tobacco mosaic virus (strain B935A)
25058,C=TMV,N=Tobacco mosaic virus (strain Dahlemense)
25059,C=TMV,N=Tobacco mosaic virus (strain ER)
25060,C=TMV,N=Tobacco mosaic virus (strain Kokubu)
25061,C=TMV,N=Tobacco mosaic virus (strain Korean NC 82)
25062,C=TMV,N=Tobacco mosaic virus (strain O)
25063,C=TMV,N=Tobacco mosaic virus (strain OM)
25064,C=TMV,N=Tobacco mosaic virus (strain Rakkyo)
25065,C=TMV-R,N=Trichoplusia ni ascovirus 2c
25066,C=TnAV-2c,N=Tobacco necrosis virus (strain A)
25067,C=TNV-A,N=Tobacco necrosis virus (strain D)
25068,C=TNV-D,N=Nicotiana tabacum
25069,C=Common tobacco,N=Tomato big bud phytoplasma
25070,N=Tobacco streak virus (strain WC),C=TSV
25071,N=Tockus erythrorhynchus,C=Red-billed hornbill
25072,N=Tockus flavirostris,C=Eastern yellow-billed hornbill
25073,N=Tockus nasutus,C=African grey hornbill
25074,N=Todus angustirostris,C=Narrow-billed tody
25075,N=Todiramphus chloris,C=Collared kingfisher
25076,N=Todus mexicanus,C=Puerto Rican tody
25077,N=Todus multicolor,C=Cuban tody
25078,N=Todarodes pacificus,C=Japanese flying squid
25079,N=Todiramphus sanctus,C=Sacred kingfisher
25080,N=Todus subulatus,C=Broad-billed tody
25081,N=Todus todus,C=Jamaican tody
25082,N=Tokudaia osimensis osimensis,C=Ryukyu spiny rat
25083,N=Tokudaia osimensis,C=Ryukyu spiny rat
25084,N=Tolumonas auensis (strain DSM 9187 / TA4),N=Tolypocladium inflatum
25085,C=Cyclosporin fungus,N=Tolypeutes matacus
25086,C=Southern three-banded armadillo,N=Tolypocladium ophioglossoides (strain CBS 100239)
25087,N=Tolypothrix scytonemoides,N=Tomopterna delalandii
25088,C=Delalande's sand frog,N=Tomato mosaic virus (strain Kazakh K1)
25089,C=ToMV,N=Tomato mosaic virus (strain Kazakh K2)
25090,C=ToMV,N=Tomato mosaic virus (strain Korean)
25091,C=ToMV,N=Tomato mosaic virus (strain L)
25092,C=ToMV,N=Tomato mosaic virus (strain LII)
25093,C=ToMV,N=Tomato mosaic virus (strain LIIa)
25094,C=ToMV,N=Tomopeas ravus
25095,C=Blunt-eared bat,N=Tomato mosaic virus (strain S-1)
25096,C=ToMV,N=Tomistoma schlegelii
25097,C=False gharial,N=Tomocichla sieboldii
25098,C=Cichlid fish,N=Tonatia bidens
25099,C=Spix's round-eared bat,N=Tonicella lineata
25100,C=Lined chiton,N=Toona sinensis
25101,C=Chinese mahogany,N=Topsentia ophiraphidites
25102,C=Marine sponge,N=Topaza pella
25103,C=Crimson topaz,N=Torreya californica
25104,C=California nutmeg,N=Torulaspora delbrueckii (strain ATCC 10662 / CBS 1146 / NBRC 0425 / NCYC 2629 / NRRL Y-866)
25105,C=Yeast,N=Torulaspora delbrueckii
25106,C=Yeast,N=Tor douronensis
25107,C=Semah mahseer,N=Toromys grandis
25108,C=Giant armored tree-rat,N=Tor khudree
25109,C=Deccan mahseer,N=Torpedo marmorata
25110,C=Marbled electric ray,N=Tor putitora
25111,C=Putitor mahseer,N=Tortella rigens
25112,C=Tortella moss,N=Tor tambroides
25113,C=Thai mahseer,N=Torpedo torpedo
25114,C=Common torpedo,N=Torgos tracheliotos
25115,C=Lappet-faced vulture,N=Tor tor
25116,C=Tor mahseer,N=Tortrix viridana
25117,C=Green oak leafroller moth,N=Tomato ringspot virus (isolate raspberry)
25118,C=ToRSV,N=Tosia australis
25119,C=Biscuit sea star,N=Tosia magnifica
25120,C=Biscuit sea star,N=Toscana virus
25121,C=Tos,N=Tomato torrado virus (isolate Solanum lycopersicum/Spain/PRIToTV0301/-)
25122,C=ToTV,N=Townsendia hookeri
25123,C=Hooker's Townsend daisy,N=Toxorhynchites amboinensis
25124,C=Mosquito,N=Toxostoma bendirei
25125,C=Bendire's thrasher,N=Toxocara canis
25126,C=Canine roundworm,N=Toxotes chatareus
25127,C=Spotted archerfish,N=Toxoptera citricida
25128,C=Brown citrus aphid,N=Toxostoma crissale
25129,C=Crissal thrasher,N=Toxocara cati
25130,C=Feline roundworm,N=Toxicodendron diversilobum
25131,C=Pacific poison oak,N=Toxoplasma gondii (strain ATCC 50853 / GT1)
25132,N=Toxoplasma gondii (strain ATCC 50611 / Me49),N=Toxoplasma gondii
25133,N=Toxostoma guttatum,C=Cozumel thrasher
25134,N=Toxoplasma gondii (strain ATCC 50861 / VEG),N=Toxostoma lecontei
25135,C=Le Conte's thrasher,N=Toxascaris leonina
25136,C=Parasitic roundworm,N=Toxostoma longirostre
